original,original_token_count,compressed,compressed_token_count,uncompressed_alt_one,uncompressed_alt_two
What is Riot Games' single player game that was released in 2021?,16,,,,
What are dogs?,4,,,,
Where was Alexander The Great from?,7,,,,
Write a short story with a moral - slow and steady wins the race,17,,,,
"Identify which instrument is string or woodwind: Giga, Panflute, Chuniri, Dizi",26,,,,
What foods are good sources of protein?,8,,,,
Landlord can I get a dog.,10,,,,
Name some famous 20th century Russian composers.,10,,,,
What does this text say about the first season of Billions?,13,,,,
What does current consist of?,6,,,,
What is the definition of Vegetarian?,9,,,,
"Classify the movies based on their original language.
Bommarillu, Zeher, Lagaan, Karthikeya, Magadheera, PK",37,,,,
Can you give me a brief history of Data Storage?,12,,,,
"Classify the cities based on whether they are located in Wallis and Futuna or Guinea.
Mamou, Leava, Mata-Utu, Conakry, Guéckédou",46,,,,
What is detection engineering and what are the benefits?,10,,,,
Make a list of 10 things I should buy at the grocery store.,15,,,,
I need to improve my sleep.  Give me a list of ideas for doing so.,18,,,,
"I am getting married, give me the list of the main tasks I need to do to organise the event.",24,,,,
What is the movie True Spirit about?,8,,,,
"Which characters belong to DC or Marvel Universe? Susan Storm, Green Lantern",15,,,,
"Identify which instrument is string or woodwind: Koto, Soprillo",17,,,,
"What are the places McCaw travelled to capture movements of the Sun?
List them in a comma separated format.",28,,,,
Why was the  Battle of Stalingrad so important?,10,,,,
What is the sign of the kiwi,10,,,,
What is the plot of the Waterloo Road,11,,,,
Give me a list of ways to express your love to someone,13,,,,
Give me a list of some quotes from Bhagavad Gita.,17,,,,
How do you become more successful?,7,,,,
"Rewrite the following sentence in terms of horses, rather than dogs: ""The adjective form of dog is canine.""",24,,,,
"Classify the following as either a makeup product, school supply or both: eye shadow, highlighter, contour stick, eye pencil, binder, marker",32,,,,
"Identify which animal species is alive or extinct: Phytosaurs, Leatherback Turtle",21,,,,
"If I was trying to build a garden shed, categorise each of the following as either ""useful"" or ""not useful"". A banana,  a hammer, nails, screws, personal protective equipment, an assistant, wood, kitchen knife, spoon, ice, magnifying glass",63,,,,
"Using given passage as a reference, Jot down some points on Laredo Formation",19,,,,
How would the world look like in say 200 years from now?,13,,,,
Give me some strategies to prevent procrastination,12,,,,
When is Tax Day not on April 15?,9,,,,
"Which is a bird or fish: Yellowedge grouper, Yellow-browed warbler",21,,,,
What is gravity?,4,,,,
Why do people like to drink coffee in the morning?,11,,,,
What is the evolved form of Pikachu?,10,,,,
Was Jens Stub Swedish?,7,,,,
"Which items on this list are scientific instruments and which are musical instruments: guitar, microscope, drums, petri dish, piano, trumpet, and bunsen burner.",35,,,,
What is a group loan?,7,,,,
What type of Pokemon is Charizard?,9,,,,
When was the New York City song released?,9,,,,
How should I go about meeting a romantic life partner?,12,,,,
"Given this paragraph about Lake Michigan, tell me where Lake Michigan ranks in terms of size by volume.",20,,,,
Why is film photography popular again?,7,,,,
What kind of plant is the Besleria modica,12,,,,
Where is Peloton Interactive based?,9,,,,
What is VCF?,5,,,,
"List the six episode titles from the last season of ""Game of Thrones"" in broadcast order.",19,,,,
write a poem about the holidays,7,,,,
"Identify which instrument is string or percussion: Yangqin, Baglama",18,,,,
Give me 5 facts about Singapore,6,,,,
"When using adjectives to describe the size of something, divide the following words into 'big' and 'small' categories. Tiny, huge, minuscule, little, gigantic, enormous and microscopic.",47,,,,
"Classify the following as either a painting or a sculpture: Mona Lisa, The Starry Night, Venus of Willendorf, Bust of Nefertiti, The Terracotta Army,  The Last Supper, The Burghers of Calais",54,,,,
"Are these baseball teams or football teams: Arizona Diamondbacks, Seattle Mariners, Pittsburg Pirates, and Houston Astros?",27,,,,
"Give me a list of the top ten tv shows, according to IMDb ratings.",22,,,,
What books did Brene Brown write?,9,,,,
"In the series A Song of Ice and Fire, who is the founder of House Blackfyre?",21,,,,
What is the oldest country in the world?,9,,,,
"given this article about Enrico Silvestrin, what year did he get evicted from Celebrity Big Brother?",28,,,,
Fix the typos and grammar in this paragraph,9,,,,
Why Bangalore climate is pleasant,5,,,,
What is DevSecOps?,11,,,,
What is Microfinance?,7,,,,
What is aliasing?,7,,,,
Name some largest US states,5,,,,
What's a good 5-day itinerary for visiting the Amalfi Coast?,18,,,,
"Identify which car manufacturer is Japanese or American: Jeep, Suzuki",13,,,,
"Classify the following countries by area as large, medium, small: russia, china, switzerland, egypt, indonesia, argentina, netherlands, south africa, iran, san marino, togo, canada",66,,,,
Who is Sanford School of Public Policy at Duke named after?,13,,,,
List reputable Universities in San Diego,7,,,,
Tell me about StarCraft.,7,,,,
What are three uses of a sheet besides bedding?,12,,,,
List the incarnations of Lord Vishnu.,12,,,,
What is a ceiling joist?,9,,,,
What are some board or card games that you recommend for ten year olds?,17,,,,
What are the best places in the United States for a golf trip?,15,,,,
Who received the maximum number of Oscar awards of all time?,12,,,,
"Tell me which one of these companies is a popular manufacturer of golf clubs: Ping, Cobra, Nike, Taylormade",26,,,,
How do you cook eggs?,6,,,,
How is a grilled cheese sandwich prepared?,10,,,,
What equipment do I need to go camping?,9,,,,
In which Harry Potter's book did we learn about Voldemort's childhood?,19,,,,
What factors should I consider in choosing an electric vehicle?,11,,,,
Where was city musician Thomas Russell born?,8,,,,
What are the 7 science classifications?,8,,,,
"As a leader, how do you build an environment of trust?",14,,,,
"Make a pro and con list for two different options for a first date: dinner and a movie, or a trip to a bowling alley. Give at least 3 pros and cons for each option",45,,,,
What are snowshoes?,7,,,,
"Which of the following are Pixar/Disney movies: How to Train Your Dragon: The Hidden World, The Secret Life of Pets 2, Turning Red, Toy Story, The Boss Baby: Family Business, Soul, Coco, Inside Out.",55,,,,
Who is credited with the recognition of electromagnetism?,14,,,,
"Identify which animal species is alive or extinct: Stupendemys, Gray Whale",19,,,,
What are some guitar brands associated with classic rock?,10,,,,
What 5-letter word spelt in all capital letters can be read the exact same upside down?,21,,,,
Are there any movies about Atlantis?,9,,,,
"Tell me which of these items would be helpful on a camping trip: Golf Club, Tent, Matches, Axe, Soccer Ball, Xbox, Water bottle",36,,,,
How do dolphins make noise?,7,,,,
"Which of these would I find on a pirate ship: oars, cannons, gym shoes, air conditioning, swords, frisbee golf set",37,,,,
"Identify which instrument is string or percussion: Fontomfrom, Ruan",17,,,,
Is Qumran worth to visit,8,,,,
"Classify the following foods by macronutrient: rice, banana, veal, tofu, butter, avocado, kangaroo, and pumpkin.",35,,,,
"Imagine a world where life expectancy is fixed and the same for everyone at birth, yet people can engage in life expectancy ""donation"" – meaning that someone can extend your life three years longer at the expense of theirs. Talk about a likely scenario in this world that involves voluntary donation.",63,,,,
Which stock indexes is RELX part of?,12,,,,
"Tell me whether the following are Pokemon or Overwatch characters: Hanzo, Flareon, Mewtwo, Mei, Dratini, Kiriko",33,,,,
"Does having a real cork, artificial cork, or a screw-top have any impact on the quality of a bottle of wine?",31,,,,
"Is the saying ""An Apple a Day Keeos the Doctor Away"" Factually correct?",25,,,,
Give me a list of the 10 best European cities to visit,13,,,,
"In the following passage about mechanical-switch keyboards, which keyboards are the loudest, and how can I make them quieter?",30,,,,
"Who amongst these are tennis players: Virat Kohli, Roger Federer, Rafael Nadal, Novak Djokovic, Serena Williams, PV Sindhu, Virender Sehwag, Maria Sharapova, Steffi Graf, Venus Williams.",59,,,,
"Tell me 3 ingredients found in common United States foods that are banned in other countries. Provide an answer in list form and include examples of: foods that the ingredient is found in, countries where the ingredient is banned, and side effects.",47,,,,
What is the 2018 TicketGuardian 500,10,,,,
What is the difference between a trumpet and a trombone?,14,,,,
Where is the Stade Louis-ll located?,11,,,,
"From the passage provided, extract the distance between Mercury and Sun in AU when it is closest to the sun in its orbit.",26,,,,
What is power resource theory?,6,,,,
Please give me a short bulleted list of the most important facts about the album “The Dark Side of the Moon” from the rockband Pink Floyd,32,,,,
What is the area of Texas in square feet?,10,,,,
Do dogs reciprocate based on how you treat them?,12,,,,
What motivates a chief executive officer?,9,,,,
Who is the little person in Game of Thrones?,10,,,,
"Name some of the great TV shows of the 1970s, 1980s and 1990s",17,,,,
Which companies did Theranos partner with in 2015?,12,,,,
What is daylight saving time?,6,,,,
What is a Husky?,7,,,,
"What season are each of these associated with? Snow, flowers, beaches, pumpkins",17,,,,
"Based on the given text, can you please. list some important aspects of colour theory",17,,,,
"What is the fastest street legal car, actually demonstrated, in the world?",15,,,,
