"original","summarization","original_token_count","compression_token_count","compression_ratio"
"Classify each of these car manufacturers as either French, German, American, Japanese, or other: Audi, Peugeot, Aston Martin, Ssangyong, Chevrolet, BMW","Classify these car manufacturers as French, German, American, Japanese, or other: Audi, Peugeot, Aston Martin, Ssangyong, Chevrolet, BMW","35","32","0.91"
"is daylight saving necessary at all?","Is DST necessary at all?","7","6","0.86"
"What is Pickleball?","Define Pickleball.","6","5","0.83"
"What are the words of House Penrose?","House Penrose motto?","9","5","0.56"
"Give me a list of top five budget Android phone","Top 5 budget Android phones","10","6","0.6"
"Is the Jakobshorn in Davos worth a trip","Is the Jakobshorn in Davos worth a trip","11","11","1.0"
"Who are the main cast of It's Always Sunny in Philadelphia?","It's Always Sunny in Philadelphia main cast?","12","8","0.67"
"List three US states whose name begins with C. Then tell me the capital of the first one.","List 3 US states starting with C; capital of the first.","20","14","0.7"
"What is ""Disko""?","What is Disko?","6","5","0.83"
"In the series A Song of Ice and Fire, who is the founder of House Foote?","Founder of House Foote in ASOIAF?","19","11","0.58"
"From which countries is  the aurora australis visible?","Countries where the aurora australis is visible?","12","10","0.83"
"What is a narcissist?","What is a narcissist?","6","6","1.0"
"Give me a list of different cat species that are good for people with allergies.","List hypoallergenic cat species.","16","6","0.38"
"What is the best programming language?","Best programming language?","7","4","0.57"
"Which institute is known as International money laundering watch dog?","Which institute is known as International money laundering watch dog?","11","11","1.0"
"What type of bike is suitable for children to learn: Balance Bike, Foldable bike, Mountain Bike, Road Bike","Which bike is best for children to learn: balance bike, foldable bike, mountain bike, road bike?","23","22","0.96"
"Tell me whether these foods are high or low in carbs: rice, spaghetti, chicken, pork, quinoa, salami","High or low carb for: rice, spaghetti, chicken, pork, quinoa, salami","24","18","0.75"
"What human foods are toxic to dogs?","Toxic human foods for dogs?","8","7","0.88"
"What is the difference between tennis shoes and sandals?","Difference between tennis shoes and sandals?","10","7","0.7"
"Tell me which of these things are used as rock climbing gear: lamps, guardrails, ropes, power cords, nuts, anchors, puppies, cams, belay devices.","Which of these are rock climbing gear: lamps, guardrails, ropes, power cords, nuts, anchors, puppies, cams, belay devices?","35","30","0.86"
"What was the first country to guarantee freedom of worship","First country to guarantee freedom of worship?","10","8","0.8"
"Is the language spoken in Kerala a palindrome?","Is Malayalam a palindrome?","9","5","0.56"
"What is a pot hole?","What is a pot hole?","6","6","1.0"
"What's your favorite stars in the sky?","Favorite stars in the sky?","8","6","0.75"
"How do I decline an invitation to my Aunt's Birthday party?","How to decline an invitation to my aunt's birthday party?","13","12","0.92"
"Given this paragraph about rivers in Europe, tell me what are the two longest rivers in Europe.","From this European rivers paragraph, list the two longest rivers.","19","12","0.63"
"Tell me about a Disk Manager","Disk Manager overview","6","3","0.5"
"Which of these wind instruments are classified as Woodwind, and which are Brass: Clarinet, French Horn, Trombone, Bassoon, Sousaphone, Saxophone, Trumpet, and Flute.","Woodwind vs Brass: Clarinet, French Horn, Trombone, Bassoon, Sousaphone, Saxophone, Trumpet, Flute.","42","30","0.71"
"Given this paragraph about muscle strains and that my symptoms include severe and acute pain with movement limitations, how bad is my strain?","From a paragraph on muscle strains, symptoms: severe, acute pain with movement limitations; how bad is my strain?","25","23","0.92"
"Q: Does spraying people with disinfectant, or having people go through disinfectant tunnels, walkways, or chambers, lower the spread of COVID-19?","Q: Do disinfectant spraying or disinfectant tunnels/walkways/chambers reduce COVID-19 transmission?","32","22","0.69"
"Is Hainanese chicken rice a national dish of Singapore or Malaysia?","Is Hainanese chicken rice a national dish of Singapore or Malaysia?","14","14","1.0"
"Which characters belong to DC or Marvel Universe? Daredevil, Robin","DC or Marvel? Daredevil, Robin","14","9","0.64"
"I want to get in better shape.  I work at a desk all day, and I've never really been in good shape.  Growing up, I didn't play sports or spend a lot of time outdoors.  I know I need to improve my physical health, but I really don't know how to get started.  Can you recommend a workout routine for me?","Desk-job, sedentary; never fit; grew up with no sports or outdoor time. Want to improve health but don’t know how to start. Recommend a workout routine.","73","35","0.48"
"What are the top 10 Hollywood movies liked by audiences","Top 10 Hollywood movies by audience rating","11","8","0.73"
"What are some good mystery/suspense novels?","Recommend good mystery/suspense novels.","10","8","0.8"
"Select the odd word from this list and explain why you chose it.
Cow
Horse
Tiger
Chicken
Pig","Odd one out: Cow, Horse, Tiger, Chicken, Pig; justify.","23","16","0.7"
"Name the top four benefits and drawbacks of playing Factorio.","Name the top four benefits and drawbacks of playing Factorio.","12","12","1.0"
"Which of the following books were written by JK Rowling: Harry Potter and the Goblet of Fire, Harry Potter and the Half Blood Prince, Cursed Child, Lord of the Rings trilogy, Percy Jackson, A Song of Ice and Fire.","Which of these books were written by JK Rowling: Harry Potter and the Goblet of Fire, Harry Potter and the Half Blood Prince, Cursed Child, Lord of the Rings trilogy, Percy Jackson, A Song of Ice and Fire","48","46","0.96"
"How large is the Tennessee River?","Tennessee River size?","7","5","0.71"
"What are the top three cloud providers.","Top 3 cloud providers?","8","6","0.75"
"Which one of these instruments are brass instruments? trombone, viola, trumpet, tuba, flute, clarinet, saxophone and piano.","Which of these are brass instruments: trombone, viola, trumpet, tuba, flute, clarinet, saxophone, piano?","29","27","0.93"
"Imagine you are a java expert and explain what OOPS means","Imagine you are a java expert and explain what OOPS means","12","12","1.0"
"From the passage, what awards did Shirley L. Fulton receive? List the awards using bullets with the year in which the award was given, in the form {year}: {award}","From the passage, list Shirley L. Fulton awards. Bullets; include year in the format {year}: {award}.","37","25","0.68"
"Why did the Allies invade Normandy during world war 2?","Why did the Allies invade Normandy in WWII?","12","9","0.75"
"Given this reference paragraph about Roger Franklin Bonk where was he born?","Where was Roger Franklin Bonk born (reference paragraph)?","14","11","0.79"
"How many members are in FATF ?","FATF member count?","8","6","0.75"
"Please give a summary of the type of recordings Spalding made by year.","Summary of types of Spalding's recordings by year.","16","12","0.75"
"What are rare-earth materials","What are rare-earth materials","5","5","1.0"
"Pick a few months with 31 days.","Name several 31-day months.","9","7","0.78"
"Identify and briefly describe the four strategies employed by the leaders of the modern civil rights movement. If you were advising a group seeking to guarantee certain civil rights today (for example, disabled people, gays/lesbians, or immigrants) which would you advise them to use?","Identify and briefly describe the four strategies used by leaders of the modern civil rights movement. If advising a group seeking to guarantee civil rights today (e.g., disabled people, gays/lesbians, or immigrants), which strategy would you recommend?","54","48","0.89"
"State if the below is a haiku?
""boiling hot lava
  bubbles beneath the earths crust
erupts sparkling fire""","Is this a haiku: boiling hot lava; bubbles beneath the earths crust; erupts sparkling fire?","28","22","0.79"
"Are fresh vegetable brought at a grocery store fresher than frozen vegetables?","Are fresh grocery-store vegetables fresher than frozen vegetables?","14","11","0.79"
"From the passage identify the attributes of Dionysus. Display the results in a comma separated format.","From passage, identify Dionysus's attributes; display results in comma-separated format.","20","17","0.85"
"When is tax day?","Tax day date?","5","4","0.8"
"Give me three reasons why I can't attend Karen's party on Friday night as a bulleted list.","Three reasons I can't attend Karen's party Friday night, in a bulleted list.","20","17","0.85"
"what is a competition?","What is competition?","5","4","0.8"
"Identify which instrument is string or percussion: Karyenda, Charango","Karyenda, Charango: string or percussion?","14","11","0.79"
"A truck is stuck under a bridge with full load, what is the easiest and fastest way to unblock the road?","Truck stuck under bridge with full load; easiest, fastest way to clear road?","23","16","0.7"
"Given a reference text about Jeremiah Mutwalante Twa-Twa, when and where was he born?","From the Jeremiah Mutwalante Twa-Twa reference, when and where was he born?","21","19","0.9"
"Who wrote the TV show Fleabag?","Who wrote Fleabag TV show?","8","7","0.88"
"Give a single-sentence explanation of this paragraph without quoting from the text.","Provide a single-sentence explanation of this paragraph without quoting.","15","12","0.8"
"What horsepower does a BMW 1250GS produce","BMW 1250GS horsepower?","10","7","0.7"
"Describe a camping plan with your family especially when you have young children","Describe a family camping plan, especially with young children.","13","11","0.85"
"What is TSA?","What is TSA?","4","4","1.0"
"What is the largest animal in the world","Largest animal in the world?","8","6","0.75"
"Where are the 4 best international travel destinations if you want a tropical location rich with history?","Top 4 international tropical destinations with rich history.","19","10","0.53"
"Polly, a 51-year-old female, visits your fitness facility. Polly has been told she has pre-diabetes. Explain to her what this means. What role can exercise play in reversing this?","Polly, 51-year-old female at a fitness facility, has prediabetes. Explain to her what prediabetes means and what role exercise can play in reversing it.","41","36","0.88"
"Summarise the ways an employer can find workers using the given text as a reference","Summarise ways an employer can find workers using the provided text as reference.","17","16","0.94"
"Explain me the characteristics of the Monalisa that make it a masterpiece","Explain Monalisa characteristics that make it a masterpiece.","13","10","0.77"
